timestamp,lat,lon,label,confidence
1787760013756,39.99956114,-83.01142764,"lakeside, lakeshore",0.048
1787760014541,39.99955982,-83.01142634,"worm fence, snake fence, snake-rail fence, Virginia fence",0.043
1787760015325,39.99955982,-83.01142634,"worm fence, snake fence, snake-rail fence, Virginia fence",0.043
1787760016105,39.99955982,-83.01142634,"lakeside, lakeshore",0.034
1787760016886,39.99955982,-83.01142634,"worm fence, snake fence, snake-rail fence, Virginia fence",0.044
1787760017670,39.9995541,-83.01142238,pole,0.062
1787760018446,39.9995541,-83.01142238,pole,0.052
1787760019228,39.9995541,-83.01142238,pole,0.084
1787760020014,39.9995541,-83.01142238,"lakeside, lakeshore",0.057
1787760020799,39.99954932,-83.01141843,pole,0.115
1787760021580,39.99954932,-83.01141843,"lakeside, lakeshore",0.076
1787760022364,39.99954932,-83.01141843,pole,0.111
1787760023145,39.99954932,-83.01141843,"lakeside, lakeshore",0.133
1787760023927,39.99954414,-83.01141683,pole,0.134
1787760024710,39.99954414,-83.01141683,pole,0.154
1787760025489,39.99954414,-83.01141683,pole,0.083
1787760026267,39.99954098,-83.01141405,"lakeside, lakeshore",0.17
1787760027034,39.99954098,-83.01141405,"lakeside, lakeshore",0.119
1787760027813,39.99954098,-83.01141405,"lakeside, lakeshore",0.174
1787760028590,39.99954098,-83.01141405,"lakeside, lakeshore",0.117
1787760029370,39.99953678,-83.01141215,"lakeside, lakeshore",0.161
1787760030155,39.99953678,-83.01141215,"lakeside, lakeshore",0.188
1787760030936,39.99953678,-83.01141215,"lakeside, lakeshore",0.092
1787760031722,39.99953678,-83.01141215,"lakeside, lakeshore",0.121
1787760032501,39.99953331,-83.01140677,"lakeside, lakeshore",0.102
1787760033280,39.99953331,-83.01140677,"lakeside, lakeshore",0.092
1787760034063,39.99953331,-83.01140677,"lakeside, lakeshore",0.079
1787760034850,39.99953331,-83.01140677,"lakeside, lakeshore",0.149
1787760035615,39.99952759,-83.01140325,"lakeside, lakeshore",0.166
1787760036380,39.99952759,-83.01140325,"lakeside, lakeshore",0.139
1787760037144,39.99952759,-83.01140325,"lakeside, lakeshore",0.108
1787760037908,39.99952759,-83.01140325,park bench,0.194
1787760038676,39.99953755,-83.01137216,park bench,0.15
1787760039439,39.99953755,-83.01137216,park bench,0.187
1787760040194,39.99953755,-83.01137216,park bench,0.381
1787760040962,39.99953755,-83.01137216,park bench,0.31
1787760041722,39.99954496,-83.01136973,"lakeside, lakeshore",0.209
1787760042488,39.99954496,-83.01136973,park bench,0.239
1787760043253,39.99954496,-83.01136973,"lakeside, lakeshore",0.274
1787760044019,39.99954496,-83.01136973,park bench,0.191
1787760044783,39.99954263,-83.01136749,"lakeside, lakeshore",0.349
1787760045567,39.99954263,-83.01136749,park bench,0.167
1787760046334,39.99954263,-83.01136749,"lakeside, lakeshore",0.205
1787760047093,39.99954263,-83.01136749,park bench,0.264
1787760047863,39.99952258,-83.01136593,park bench,0.203
1787760048632,39.99952258,-83.01136593,"lakeside, lakeshore",0.195
1787760049394,39.99952258,-83.01136593,"mobile home, manufactured home",0.297
1787760050161,39.99952258,-83.01136593,park bench,0.166
1787760050929,39.99953376,-83.01138148,park bench,0.188
1787760051697,39.99953376,-83.01138148,"unicycle, monocycle",0.115
1787760052461,39.99953376,-83.01138148,park bench,0.12
1787760053224,39.99953376,-83.01138148,park bench,0.223
1787760053989,39.99931462,-83.01143276,"mobile home, manufactured home",0.152
1787760054755,39.99931462,-83.01143276,"lakeside, lakeshore",0.209
1787760055519,39.99931462,-83.01143276,"mobile home, manufactured home",0.535
1787760056286,39.99931462,-83.01143276,"mobile home, manufactured home",0.262
1787760057051,39.99899729,-83.01152876,"mobile home, manufactured home",0.434
1787760057822,39.99899729,-83.01152876,"mobile home, manufactured home",0.382
1787760058589,39.99899729,-83.01152876,"mobile home, manufactured home",0.409
1787760059355,39.99899106,-83.01152748,"mobile home, manufactured home",0.724
1787760060116,39.99899106,-83.01152748,"mobile home, manufactured home",0.877
1787760060883,39.99899106,-83.01152748,"mobile home, manufactured home",0.645
1787760061649,39.99899106,-83.01152748,"mobile home, manufactured home",0.854
1787760062409,39.99898412,-83.0115208,"mobile home, manufactured home",0.85
1787760063177,39.99898412,-83.0115208,"mobile home, manufactured home",0.705
1787760063940,39.99898412,-83.0115208,"mobile home, manufactured home",0.852
1787760064713,39.99898412,-83.0115208,"mobile home, manufactured home",0.801
1787760065469,39.99895121,-83.01149334,"mobile home, manufactured home",0.57
1787760066239,39.99895121,-83.01149334,"mobile home, manufactured home",0.618
1787760067006,39.99895121,-83.01149334,"mobile home, manufactured home",0.556
1787760067778,39.99895121,-83.01149334,"mobile home, manufactured home",0.404
1787760068543,39.99904975,-83.01150134,"patio, terrace",0.33
1787760069320,39.99904975,-83.01150134,"mobile home, manufactured home",0.59
1787760070102,39.99904975,-83.01150134,"patio, terrace",0.131
1787760070882,39.99904975,-83.01150134,"mobile home, manufactured home",0.081
1787760071666,39.99902954,-83.01150405,"mobile home, manufactured home",0.158
1787760072454,39.99902954,-83.01150405,"mobile home, manufactured home",0.162
1787760073229,39.99902954,-83.01150405,"mobile home, manufactured home",0.143
1787760074017,39.99902954,-83.01150405,"mobile home, manufactured home",0.642
1787760074787,39.99901295,-83.01150846,"mobile home, manufactured home",0.375
1787760075552,39.99901295,-83.01150846,"mobile home, manufactured home",0.583
